Title	Duration	Genre	Release Date	Category	Deaf Actor	Deaf Director	Deaf Writer	Deaf Editor	Language	Country	Sign Language %	Company	Free To Watch	IMDb ID	Synopsis	URL
Marie-Line	01 hours 40 minutes	Drama	December 20, 2000	Movies with No Deaf Actors | Supporting Roles					French	France; EUR					Marie-Line works as a chief cleaner, at night, in a mall. She leads a team of 3-5 women, most of them being illegal aliens. Marie-Line is a hard woman with a golden heart, and she’s in love with dead singer Joe Dassin. When her fascist husband walks out on her, whe tries to find love through ads.	https://deafmovie.org/title/marie-line/
Marie’s Story		Drama; Biography	August 10, 2014	Movies with Deaf Actors | Leading Roles										tt3132714	Marie Heurtin is born both blind and deaf. Sister Marguerette wins her trust and teaches her how to express herself.	https://deafmovie.org/title/tt3132714/
Marlee Matlin: Not Alone Anymore	01 hours 34 minutes	Documentary	January 23, 2025		Marlee Matlin; John Maucere; Lauren Ridloff	Shoshannah Stern		MJ Kiego	American Sign Language	USA	50-100% Sign Language Usage			tt33322301	Explores Marlee Matlin’s life as a groundbreaking performer.	https://deafmovie.org/title/marlee-matlin-not-alone-anymore/
Marty Supreme	02 hours 29 minutes	Drama; Sport	December 25, 2025	Movies with Deaf Actors | Supporting Roles	Koto Kawaguchi				English	USA	x Mute (No Language)				Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.	https://deafmovie.org/title/marty-supreme/
Mather	23 minutes	Fantasy; Short	March 13, 2019	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts		Chase Burton				USA			Free Short		A lone wanderer on a dry planet discovers a mysterious box of seeds. Confronted by the power of the seeds, he faces the ultimate choice between creation or destruction.	https://deafmovie.org/title/mather/
Maxie	01 hours 29 minutes	Horror; Thriller	June 1, 1973	Movies with No Deaf Actors | Leading Roles											A mute young girl finds out that a butcher is using his store as a front for murder.	https://deafmovie.org/title/maxie/
Mea Maxima Culpa: Silence in the House of God	01 hours 46 minutes	Documentary	September 9, 2012	x Documentaries; x Documentaries by Non-Deaf Directors									Free Documentary	tt2111478	explores the charged issue of pedophilia in the Catholic Church, following a trail from the first known protest against clerical sexual abuse in the United States and all the way to the Vatican.	https://deafmovie.org/title/mea-maxima-culpa-silence-in-the-house-of-god/
Meet the Fockers	01 hours 55 minutes	Comedy; Romance	December 16, 2004	Movies with No Deaf Actors | Supporting Roles					English	USA	0–1% Sign Language Usage				Having given permission to male nurse Greg Focker to marry his daughter, ex-CIA man Jack Byrnes and his wife travel to Miami to Greg’s parents, who this time around are Mr. and Mrs. Focker, who are as different from them as can be. As asked in the first movie, what sort of people name their son Gaylord M. Focker?	https://deafmovie.org/title/meet-the-fockers/
Memories of the Warsaw Ghetto	15 minutes	Biography; Documentary	June 1, 2015	x Documentaries; x Documentaries by Non-Deaf Directors									Free Documentary		‘Memories of the Warsaw Ghetto’ is a short docudrama film about a boyhood resident of that Ghetto, Dr. Eugene Bergman. Deafened early in the war, Genio and his family struggle to survive persecution in Nazi occupied Poland. Behind the Ghetto wall, they find a community of people who refuse to let the Germans strip them of their identity. A community that keeps their culture, their family, and their love alive. But the Germans are determined to destroy them, and their determination is deadly.	https://deafmovie.org/title/memories-of-the-warsaw-ghetto/
Mia og Matheo	14 minutes	Family	June 1, 2019	x Docuseries by Deaf Directors; x Docuseries					Norwegian Sign Language	Norway; EUR	50-100% Sign Language Usage		Kids Free; Free Docuseries		Mia and Matheo’s journey to…	https://deafmovie.org/title/mia-og-matheo/
Mickey Mouse Funhouse		Action; Animation; Short	July 16, 2021						American Sign Language; English	USA					Follows Funny, an enchanted talking playhouse who leads Mickey Mouse and his pals on imaginative adventures.	https://deafmovie.org/title/mickey-mouse-funhouse/
Midnight	01 hours 43 minutes	Thriller; Crime	April 5, 2022	Movies with No Deaf Actors | Leading Roles; Shorts with No Deaf Actors | Supporting Roles; Movies					Korean Sign Language	South Korea	25-50% Sign Language Usage				A perilous find the stowaway between a psychopathic executioner and a hard of hearing lady Kyeong-mi, a young lady with hearing weakness lives with her mom. Working at the client call focus, one day she stomps out of an undesirable supper with the customer and drives home after she gets her mom. Then, the killer Do-sik spots Kyeong-mi’s mom sitting tight for her girl who went to leave her vehicle yet changes his objective when another young lady So-jung passes him by chatting on the telephone. So-jung gets betrayed by Do-sik back street and is found by Kyeong-mi, who winds up turning out to be Do-sik’s new prey.	https://deafmovie.org/title/midnight/
Milano	02 hours 39 minutes		November 6, 2024	Movies with Deaf Actors | Leading Roles; Movies	Basil Wheatley				French; Dutch; Flemish Sign Language	Belgium	50-100% Sign Language Usage				Alain is a devoted single father raising his young son, Milano, on his own. Determined to build a brighter future for them, he works tirelessly to make ends meet while navigating the challenges of parenthood and life’s uncertainties.	https://deafmovie.org/title/milano/
Millstone		Drama; Thriller; Short	January 25, 2023	Shorts with Deaf Actors | Leading Roles; Shorts	Daniel Durant; Bellamie Bachleda; Eddie Buck				American Sign Language	USA					Featuring an entirely Deaf cast and shot exclusively in American Sign Language, this is the story of a married couple who – after having tragically lost a child -seeks out a new, experimental therapy. Their grief is consuming them…	https://deafmovie.org/title/millstone/
Misinterpretation		Short	March 13, 2016	Shorts with Deaf Actors | Leading Roles; Shorts	Amber Zion	Jules Dameron			American Sign Language	USA	50-100% Sign Language Usage		Free Short		MISINTERPRETATION tells the story of a brilliant Deaf woman and the one ASL interpreter who can keep up with her. It was love at first sign. But as the relationship grows, a new dynamic builds; she can’t hear, and he doesn’t listen.	https://deafmovie.org/title/misinterpretation/
Mito-Kids: Documenting Life		Documentary	May 9, 2009	x Documentaries									Free Documentary		Mito-Kids is the story of four teenage sisters who have grown up with disabilities that stem from mitochondrial disease, a chronic, genetic disorder that occurs when the mitochondria of the cell fail to function properly. This is an intimate and personal story that aims to increase the understanding of mitochondrial disease and its connection to epilepsy, diabetes, ALS, Parkinson’s, Alzheimer’s, Heart Disease and many other neurological disorders. In addition to the family footage, interviews with medical experts and original animation break down the role of mitochondria in producing cellular energy and explain what happens to the human body when these cellular powerhouses fail. The incidence of mitochondrial disease is estimated at 1:3000-4000 individuals in the US and yet the disease is relatively unheard of in the public sector and poorly understood in the medical community.	https://deafmovie.org/title/mito-kids-documenting-life/
Mitt Norge		Reality-TV	May 7, 2019		Fie Sennels				Norwegian Sign Language	Norway; EUR	50-100% Sign Language Usage		Free TV Episodes		https://dovesmediatv.no/video/307746-episode-8Episode 1 to 8Norwegian version:I realityserien Mitt Norge skal dere få møte Fie. Fie er en ung og karismatisk kvinne fra Stavanger og Oslo, som bryter ut av komfortsonen sin for å oppleve noe helt nytt, helt på egenhånd. Dessuten har hun nettopp fått seg førerkortet, og er på utkikk etter sin aller første bil. Hun finner drømmebilen i Hammerfest – en gullfarget VW Boble fra 1974, som 42 år senere skal få nytt liv som Fies nye følgesvenn. I Mitt Norge skal vi følge Fie gjennom 8 episoder og 408 mil der hun i løpet av en måned kjører landet på langs, fra Nordkapp til Lindesnes. Hun skal møte en rekke personer som skal dele sine livshistorier fra der hvor de kommer fra, samtidig som at hun skal få utforske på nært hold den fantastiske naturen Norge har å by på. Hele serien er på tegnspråk, med stemmetolk og teksting tilgjengelig.	https://deafmovie.org/title/mitt-norge/
Mother, Father, Deaf	50 minutes	N/A	July 14, 2020	x Documentaries; x Documentaries by Non-Deaf Directors					English	USA					Through the stories of three CODAs (children of deaf adults), this film offers a previously unseen portrayal and exploration of these children’s daily reality and upbringing.	https://deafmovie.org/title/mother-father-deaf/
Motion of Confusion	10 minutes	Short	March 1, 1996	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts		Robert Hoskin			Japanese Sign Language	Japan	50-100% Sign Language Usage		Free Short		Full Clip	https://deafmovie.org/title/motion-of-confusion/
Motor Oil	6 minutes	Short	June 4, 2010	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Tyrone Giordano	Jules Dameron	Erik Call	Eric Calbert	American Sign Language	USA	50-100% Sign Language Usage		Free Short		48 Hour Project.	https://deafmovie.org/title/motor-oil/
Mourning	01 hours 25 minutes	Drama	October 9, 2011	Movies with No Deaf Actors | Leading Roles; Movies											A deaf couple keeps a tragic secret from their nephew, debating the child’s future in a language not as private as they believe, whilst on a road trip home to Tehran. Mourning is a humorous and compassionate meditation on communication and emotional disability. Official selection of the prestigious Global Lens Collection presented by the Global Film Initiative. (Iran: Persian w. English subs.)	https://deafmovie.org/title/mourning/
Mr Subtitles			December 7, 2012	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts		Thomas Giddens			English; British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage				Matt is in an student and he is 21 years old. He is a student living in the beautiful flat with their fellow housemates… He have his ‘Mr Subtitle’ translator for him to understand and read the subtitle from everyday lives people oral speaking to him.  However, his other fellow housemate, Joe got envy of him because he is also a Profoundly Deaf student. Matt tried to run away from Joe. In this film you will find out if Matt can kept away from Joe, or it might not.	https://deafmovie.org/title/mr-subtitles/
Mr. Holland’s Opus		Drama; Music	December 29, 1995	Movies with Deaf Actors | Supporting Roles; Movies					American Sign Language	USA					A frustrated composer finds fulfillment as a high school music teacher.	https://deafmovie.org/title/mr-hollands-opus/
Ms .45	01 hours 20 minutes	Drama; Thriller; Crime	April 24, 1981	Movies with No Deaf Actors | Leading Roles					English; Spanish	USA	x Mute (No Language)				The film follows Thana, a mute seamstress in New York City, who is raped twice in one day. She kills her second attacker and takes his gun, eventually going on a vigilante rampage against men.	https://deafmovie.org/title/ms-45/
Mudo mundo	12 minutes	Short	May 4, 2000	Shorts									Free Short		Mario is a five year old boy who cannot speak. He thinks it is because his parents, friends and baby-sitter are deaf and non-speaking and he has had nobody to teach him to speak. But everybody else thinks he is deaf, too. At the end of the film, we will discover who is right.	https://deafmovie.org/title/mudo-mundo/
Multiverse (orig. title: Entangled)		Drama; Sci-fi	October 15, 2019	Movies with Deaf Actors | Leading Roles; Movies	Marlee Matlin										Four brilliant university students are forced to confront themselves in terrifying ways when their Quantum Physics experiment leads to an entangled parallel existence that leaves them questioning who they are and what is real.	https://deafmovie.org/title/entangled-2/
Music Within	01 hours 34 minutes	Comedy; Drama; Romance; Biography; Music; War	January 5, 2007	Movies with No Deaf Actors | Leading Roles; Movies											The true story of Richard Pimentel, a brilliant public speaker with a troubled past, who returns from Vietnam severely hearing -impaired and finds a new purpose in his landmark efforts on the behalf of Americans with disabilities.	https://deafmovie.org/title/music-within/
Mute	02 hours 06 minutes		February 23, 2018	Movies with No Deaf Actors | Leading Roles; Movies					English	USA	x Mute (No Language)				A mute bartender goes up against his city’s gangsters in an effort to find out what happened to his missing partner.	https://deafmovie.org/title/mute/
My Dear Beloved (orig. title: Caro Mio Ben)	01 hours 58 minutes		October 8, 2017	x Documentaries; x Documentaries by Non-Deaf Directors					Chinese Sign Language; Chinese	China; Singapore				tt9664364	Synopsis 01Throughout seasons and years in special education, the documentary focuses on four girls with different physical disabilities. Despite their difficulties, they are full of hope and faith towards life. Their curiosity and optimism render viewers to see the most beautiful mind.	https://deafmovie.org/title/tt9664364/
My Father A Man of Commitment (orig. Mon père, un homme engagé)	27 minutes		April 12, 2024	x Documentaries					French Sign Language	France					Jacques Sangla is one of the pioneers of the Deaf rights movement in France. Like many Deaf people of his generation, after growing up in an oral environment, he became aware later in life of the value of his Deaf identity, his culture, and his language, sign language. His efforts helped to bring visibility to the Deaf community in society and to secure a better future.	https://deafmovie.org/title/my-father-a-man-of-commitment-orig-mon-pere-un-homme-engage/
My Father Die		Action; Drama	March 12, 2016	Movies with No Deaf Actors | Leading Roles; Movies							x Misuse Sign Language				Deaf since having his hearing knocked out at the age of 12, Asher has been training for almost two decades to avenge himself on Ivan, the man that killed his older brother, 21 years ago. And now that his nemesis is out of prison, he gets his chance. But Asher’s target also happens to be his father.	https://deafmovie.org/title/my-father-die/
My Name Is Earl		Comedy	September 20, 2005		Marlee Matlin				American Sign Language; English	USA					Earl is a low-life who buys a winning lottery ticket, only to get hit by a car, losing the ticket in the process. He then realizes in the hospital that his bad luck is the result of karma in which fate punishes him for all the rotten things he’s ever done in his life; therefore, he then decides to dedicate his life to making amends to all the people he has hurt in his life.	https://deafmovie.org/title/my-name-is-earl/
My Song	24 minutes	Drama; Short	May 23, 2011	Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts		William Mager	Charlie Swinbourne		British Sign Language	United Kingdom	50-100% Sign Language Usage	BSLZone	Free Short		My Song is a coming of age story which follows Ellen, a young deaf girl stuck in the middle of the deaf and hearing worlds.	https://deafmovie.org/title/my-song/
My Summer in Provence (orig. title: Avis de mistral)		Drama; Romance	April 2, 2014	Movies with Deaf Actors | Leading Roles	Lukas Pelissier				French Sign Language; English; French	France; EUR					Lea, Adrian, and their little brother Theo, born deaf, go on holiday in Provence with their grandfather, Paul “Oliveron” they never met because of a family quarrel. Unfortunately, it is not the holidays they dreamed, especially after their father announced that he was leaving the house. In less than 24 hours, it is the clash of generations between the teens and their grandfather.	https://deafmovie.org/title/avis-de-mistral/
My World (orig. title: Benim Dünyam)		Drama	October 25, 2013	Movies with No Deaf Actors | Leading Roles; Movies						Turkey	x Misuse Sign Language				At 2 Ela lost her ability of seeing and hearing because of a severe illness. And then she became a total disappointment of her family due to her untamed behaviors. But everything changed after a teacher stepped into their lives to educate Ela while healing himself.	https://deafmovie.org/title/benim-dunyam/
Never Give Up	01 hours 20 minutes	Family; Sport	September 1, 2023	Movies with No Deaf Actors | Leading Roles; Movies					English	USA					The incredible true story of 20-year-old Brad Minns, who defied all odds in the Men’s Singles Tennis Finals at the 1985 Deaf World Games. In a grueling five-hour showdown, Minns staged a miraculous comeback—saving match point in the third set and ultimately capturing the gold medal in the fifth. This unforgettable match becomes the backdrop for the inspiring journey of a man who lost his hearing at age three and, through faith and relentless determination, rose to the top of his sport. With God’s help, Brad lived the message that carried him:Never Give Up.	https://deafmovie.org/title/never-give-up/
Nevermind	10 minutes		January 15, 2025	Shorts with Deaf Actors | Leading Roles; Shorts	Carlos Soroa				Spanish Sign Language; Spanish	Spain; EUR				tt35663034		https://deafmovie.org/title/nevermind/
Nip/Tuck		Drama	July 22, 2003		Marlee Matlin										Two plastic surgeons – one a dedicated family man and one an unscrupulous playboy – strive to maintain their business whilst having to work their way through numerous hardships ranging from personal relationships to clients with criminal connections.	https://deafmovie.org/title/nip-tuck/
No Ordinary Hero: The SuperDeafy Movie	01 hours 19 minutes	Comedy; Drama; Family	October 1, 2013	Movies with Deaf Actors | Supporting Roles; Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies	Marlee Matlin; John Maucere; Shoshannah Stern; Liz Tannebaum	Troy Kotsur			American Sign Language	USA	50-100% Sign Language Usage		Free Movie	tt2907898	A deaf actor who plays a superhero on a TV show must look beyond the cape to inspire a deaf boy to believe in himself.	https://deafmovie.org/title/no-ordinary-hero-the-superdeafy-movie/
Non Abbandonare	01 hours 00 minutes		August 1, 2019	Movies with Deaf Actors | Leading Roles; Movies by Deaf Directors; Movies		Antonio Bottari			Italian Sign Language	Italy; EUR	50-100% Sign Language Usage				Black Summer	https://deafmovie.org/title/non-abbandonare/
Not from Where I’m Standing	4 minutes	Drama; Short	June 1, 2004	Shorts											Witness the downfall of a sign language interpreter as he provides the voice over for a film of a man walking in a park	https://deafmovie.org/title/not-from-where-im-standing/
O Ornitólogo		Adventure; Drama; Mystery	August 8, 2016	Movies with No Deaf Actors | Leading Roles; Movies					English; Portuguese; Mandarin; Latin; Mirandese	France; Brazil; Portugal					Fernando is a 35-year-old ornithologist. He decides to go down a river in a kayak, hoping to find extremely rare black storks. Distracted by the beauty of the landscape, Fernando is soon thrown overboard by the current, and his motionless, bloody body reaches the riverbank.	https://deafmovie.org/title/o-ornitologo/
Old Long Stay	02 hours 50 minutes		November 7, 2020	x Documentaries; x Documentaries by Non-Deaf Directors					Japanese Sign Language; Japanese	Japan					Even if you were born and raised in Japan, pay taxes, and become a naturalized citizen, you cannot receive a pension, which is the minimum guarantee of life. In March 2000, seven deaf Koreans residing in Japan filed a lawsuit at the Kyoto District Court against unreasonable discrimination that disabled persons of foreign nationality above a certain age were not entitled to a disability pension. Through interviews with the plaintiffs and their supporters and documentary footage of the past, the director confronts the historical and political issues of “disability” and “ethnicity.”	https://deafmovie.org/title/old-long-stay/
On the Waterfront	7 minutes	Short	February 1, 2010	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Jonathan Reid; John Maidens; Michael Reid	William Mager			British Sign Language	United Kingdom; EUR			Free Short		Waterfront is a spoof of the legendary Elia Kazan flick On the Waterfront with Marlon Brando. The legendary “coulda been a contender” scene has been changed it to be a scene between two deaf brothers. One brother, Charlie, is part of a shady gang; the other, Terry wants to work as a BSL teacher at the RNID. Terry’s interview at the RNID is approaching, and he has high hopes. But Charlie has other ideas…	https://deafmovie.org/title/on-the-waterfront/
Once Upon A Sign		Family; Short	January 1, 2010	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Ben Bahan				American Sign Language	USA	50-100% Sign Language Usage				Once Upon a Sign is an award winning series of classic children’s stories re-created with modern themes. Performed entirely in American Sign Language with voice over and subtitles in English (English and Spanish for streaming), everyone can enjoy timeless stories with new twists. Also, get excited for Fun Signs, a recap of key signs from the stories. Join in the fun by signing along, perfect for kids or anyone learning ASL!	https://deafmovie.org/title/once-upon-a-sign/
Orphan	02 hours 03 minutes	Horror; Thriller; Mystery	July 21, 2009	Movies with Deaf Actors | Leading Roles; Movies	Aryana Engineer										A husband and wife who recently lost their baby adopt a 9 year-old girl who is not nearly as innocent as she claims to be.	https://deafmovie.org/title/orphan/
Out 1			October 9, 1971	Movies					English; French	France; EUR				tt0246135	Following the May 1968 civil unrest in France, a deaf-mute and a con artist simultaneously stumble upon the remnants of a secret society.	https://deafmovie.org/title/out-1/
Out of the Past	01 hours 37 minutes	Crime; Film-Noir; Drama; Romance; Thriller	November 25, 1947	Movies with No Deaf Actors | Leading Roles; Movies											A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.	https://deafmovie.org/title/out-of-the-past/
Overwatch 2: Animated short | “Kirko”		Animation	October 8, 2022	Shorts with Deaf Actors | Leading Roles; Shorts					Japanese Sign Language; Japanese	USA; Japan	10-25% Sign Language Usage		Free Short		The protector of Kanezaka strikes again. Discover the two sides of Kiriko, the loving daughter and the deadly protector.	https://deafmovie.org/title/overwatch-2-animated-short-kirko/
Palabras de Caramelo	20 minutes	Documentary	April 12, 2016	x Documentaries									Free Documentary		In a refugee camp in the Sahara desert, lives a deaf boy who wishes to learn how to write so that he could express the words of his best friend, the young camel Caramel. Welcome to the silent world of Kori and his camel friend Caramel.	https://deafmovie.org/title/palabras-de-caramelo/
Pas le choix	01 hours 30 minutes		August 12, 2022	Movies by Deaf Directors	Anthony Guyon; Nelly Guyot; Bachir Saïfi	Hrysto			French Sign Language; French	France	50-100% Sign Language Usage				Hugo is a drag performer at the cabaret “Chez Titi.” Accompanied by his sister Victoria, his loyal friend Matt, and all the regulars of the famous cabaret, Hugo takes the stage for his final performance. When he is found murdered in his dressing room, Matt seems to be the prime suspect… but is he really?	https://deafmovie.org/title/pas-le-choix/
Past Future	01 hours 10 minutes		July 26, 2022	Movies with Deaf Actors | Leading Roles; Movies	Hillary Baack				American Sign Language; English	USA					A day in the life of a family during the summer of 2020.	https://deafmovie.org/title/past-future/
Patched Up!	8 minutes		April 1, 1994	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts		Robert Hoskin			Japanese Sign Language	Japan	50-100% Sign Language Usage				Full Clip	https://deafmovie.org/title/patched-up/
Planet of Snail	01 hours 28 minutes	Documentary	March 20, 2011	x Documentaries; x Documentaries by Non-Deaf Directors					Korean	South Korea; Japan; Finland; EUR					Young-Chan comes from planet of snail where deaf blind people live slow and quiet lives. When Young-Chan came to Earth, nobody understood his language and he was desperate. Then an angel walked into his life. Soon-Ho knows how it is to be lonely and soon becomes an inseparable part of his life. Young-Chan also discovers an amazing world under his fingers as he learned to read books with braille. Hopes began to grow and he dreams of writing a book. However, Soon-Ho cannot always be there for him because of her own problem of spine disability. The couple now should learn to survive alone. While Soon-Ho uneasily spends her first day waiting for his return, Young-Chan goes out for the biggest adventure of his life.	https://deafmovie.org/title/planet-of-snail/
POP: Freedom to Communicate			November 1, 2016	Shorts with Deaf Actors | Leading Roles; Shorts	Bob Hiltermann; Jared DeBusk				American Sign Language	USA					Black Summer	https://deafmovie.org/title/pop-freedom-to-communicate/
Prøvetid	7 minutes		January 9, 2020	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors	Kevin Eide Edvardsen; Pernille Forsberg Vogt; Mariola Domurat; Olgeir Hartvedt; Ronny P. Jacobsen; Maj-Lisbeth Marman; Ipek D. Mehlum; Paal Richard Peterson; Agata Wisny		Anja H. Tolsrød		Norwegian Sign Language	Norway	50-100% Sign Language Usage		Free Short		*Prøvetid* is a mockumentary (fictional documentary) about a theater ensemble struggling with disastrous finances as they try to stage a play.	https://deafmovie.org/title/provetid/
Preservation of the Sign Language		Documentary; Short	January 29, 1913	x Documentaries by Deaf Directors; x Documentaries	George Veditz				American Sign Language	USA	50-100% Sign Language Usage		Free Documentary		George Veditz, one-time president of the National Association of the Deaf of the United States, outlines the right of deaf people to sign instead of speak.	https://deafmovie.org/title/preservation-of-the-sign-language/
Pretty Dudes (S1.E6, E11)		Comedy	September 1, 2016		Dickie Hearts										When a group of dudes in the greater Los Angeles area, self-categorized as “pretty boys,” decide that their looks have ruined their romantic lives, they set out to reverse the curse.	https://deafmovie.org/title/pretty-dudes/
Psych-Out	01 hours 41 minutes	Drama	March 6, 1968	Movies with No Deaf Actors | Leading Roles										tt0063469	A deaf runaway comes to Haight-Ashbury in search of her brother, and is helped by three hippies who convince her to change from “square” to “more hip.	https://deafmovie.org/title/tt0063469/
Punk Chef	24 minutes	Documentary; Reality-TV	April 1, 2013	x Docuseries by Deaf Directors; x Docuseries					British Sign Language	United Kingdom; EUR	50-100% Sign Language Usage	BSLZone	Free Docuseries		Lifestyle programme in which the Punk Chef helps Deaf people to eat healthier food. 63% of Deaf people are overweight, compared to 12% of hearing people, with Deaf people twice as likely to have heart disease. Presented by Scott Garthwaite.	https://deafmovie.org/title/punk-chef/
Quiet Signs of Love	16 minutes	Drama; Romance; Short	July 14, 2011	Shorts with No Deaf Actors | Leading Roles; Shorts									Free Short		Synopsis 01	https://deafmovie.org/title/quiet-signs-of-love/
Résilience	18 minutes		April 3, 2024	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors		Julien Bourges			French Sign Language	France	50-100% Sign Language Usage				In the countryside, Joseph, a Deaf man, lives alone. A traumatic experience prevents him from leaving the village. One day, a delivery person arrives with a package that is about to change his life.	https://deafmovie.org/title/resilience/
Rangeland Romances	5 minutes	Comedy; Short	October 16, 2004						American Sign Language	USA					A car breaks down on a deaf couple, Cliff and Connie. They struggle to convince Fred, a detached mechanic, to fix their car amidst their communication barriers. Things only take a turn for	https://deafmovie.org/title/rangeland-romances/
Raw		Short	April 9, 2011	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Braam Jordan	Jules Dameron			American Sign Language	USA	50-100% Sign Language Usage		Free Short		A model shows up to a photo shoot. But this mysterious photographer doesn’t click his camera or say a word to her. What is he thinking?	https://deafmovie.org/title/raw/
Re-Defining D-E-A-F	40 minutes	Documentary	July 1, 2010	x Documentaries by Deaf Directors; x Documentaries	Lauren Ridloff; Douglas Ridloff	Ryan Commerson			American Sign Language	USA	50-100% Sign Language Usage		Free Documentary		A public proposal on the means to create significant social change.	https://deafmovie.org/title/re-defining-d-e-a-f/
Reaching Out: A Story About Mainstreaming		Documentary; Short	January 1, 1970	x Documentaries											N/A	https://deafmovie.org/title/reaching-out-a-story-about-mainstreaming/
Read My Lips (orig. Sur Mes Lèvres)	01 hours 55 minutes	Drama; Romance; Thriller; Crime; Short	July 1, 2001						French	France; EUR					She is almost deaf and she lip-reads. He is an ex-convict. She wants to help him. He thinks no one can help except himself.	https://deafmovie.org/title/read-my-lips/
Reading Through the Body		Documentary; Short	May 30, 2016	x Documentaries; x Documentaries by Non-Deaf Directors					Austrian Sign Language	Austria; EUR					What happens if a philosophical text is mirrored in the world of sign language? What happens if thoughts and signs are translated into moving pictures? “Reading Through the Body” is a short ethnographic documentary showing how a woman who is deaf tries to comprehend and embody a text by Friedrich Nietzsche in an experimental setting.	https://deafmovie.org/title/reading-through-the-body/
Realtà?	25 minutes	Short	November 3, 2010	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts		Antonio Bottari			Italian Sign Language	Italy; EUR					Black Summer	https://deafmovie.org/title/realta/
Reservoir Wolves	10 minutes	Crime; Short	November 1, 2001			Ramon Woolfe			British Sign Language	United Kingdom					A parody of Quentin Tarantino’s 1992 masterpiece set to British Sign Language.	https://deafmovie.org/title/reservoir-wolves/
Resident Evil: The Final Chapter	01 hours 41 minutes	Action; Horror; Sci-fi; Thriller	December 13, 2016	Movies with Deaf Actors | Supporting Roles; Movies					American Sign Language; English	USA	0–1% Sign Language Usage				Picking up immediately after the events in Resident Evil: Retribution, Alice (Milla Jovovich) is the only survivor of what was meant to be humanity’s final stand against the undead. Now, she must return to where the nightmare began – The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.	https://deafmovie.org/title/resident-evil-the-final-chapter/
Retour à la vie															Black Summer	https://deafmovie.org/title/retour-a-la-vie/
Reverberations	28 minutes	Sci-fi; Short	February 24, 2018	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors	Lisa Kelly; Matt Kyle; Mia Ward; Rose Ayling-Ellis	Samuel Dore			British Sign Language	United Kingdom	50-100% Sign Language Usage	BSLZone	Free Short		In 2167, a fascist Government uses advances in gene therapy to eradicate Deafness and create a perfect society. A young Deaf time traveller is sent to the present to find the inventor of the cure and change her mind before it’s too late.	https://deafmovie.org/title/reverberations/
Reverberations: The Return	27 minutes	Sci-fi	August 3, 2023	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts	Lisa Kelly				British Sign Language	United Kingdom	50-100% Sign Language Usage	BSLZone	Free Short		A time travelling mission failed and time is running out. Allies gather for the ultimate confrontation.	https://deafmovie.org/title/reverberations-the-return/
Rose & Raven		Drama; Short	August 4, 2019	Shorts with Deaf Actors | Leading Roles; Shorts	Jared DeBusk				American Sign Language	USA	50-100% Sign Language Usage				Rose and Raven is about a young girl who befriends her deaf classmate who teaches her to be confident in herself as she pursues her dreams. Through their experiences with each other, they learn how to communicate, not only through their speech barrier but on an honest and personal level. Rose and Raven seeks to bring awareness to those who grew up or gradually became deaf. We believe that stories like this haven’t been told enough and want to bring to light a story that over 5% of the world’s population shares.	https://deafmovie.org/title/rose-raven/
Running Without Sound	12 minutes	Romance; Short	June 10, 2004	Shorts with No Deaf Actors | Leading Roles; Shorts					English	USA			Free Short		Sean is deaf, a high school student and a cross country runner. He’s also a closeted gay teenager who’s just coming to terms with his sexuality and his attraction to a fellow team-mate.	https://deafmovie.org/title/running-without-sound/
Sabotage		Sci-fi; Short	June 1, 2000	Shorts with Deaf Actors | Leading Roles; Shorts by Deaf Directors; Shorts by Deaf Writers; Shorts	Emilio Insolera; Michelle McAuliffe; Rene Visco	Daniele LeRose	Emilio Insolera		American Sign Language	USA; Italy	50-100% Sign Language Usage				N/A	https://deafmovie.org/title/sabotage/
